Year,Day,Variable_Source_Area_Delineated_Average,Snow(mm/day)_Delineated_Average,Snow_Melt(mm/day)_Delineated_Average,Rain(mm/day)_Delineated_Average,Runoff_All(mm/day)_Delineated_Average,Runoff_Suface(mm/day)_Delineated_Average,Air_Temperature(degC)_Delineated_Average,Min_Air_Temperature(degC)_Delineated_Average,Max_Air_Temperature(degC)_Delineated_Average,Ground_Surface_Temperature(degC)_Delineated_Average,N_in(gN/day/m2)_Delineated_Average,Grassland_71_agBiomass_Pool(gC)_Cover_Total,Grassland_71_agBiomass_Pool(gC/m2)_Cover_Average,Grassland_71_agBiomass_Pool(gC/m2)_Delineated_Average,EvergreenForest_42_ET(mm*m2/day)_Cover_Total,EvergreenForest_42_Biomass_Pool(gC)_Cover_Total,EvergreenForest_42_Biomass_Pool(gC/m2)_Cover_Average,Wetlands_90_Biomass_Pool(gC/m2)_Delineated_Average
1990,1,0.2834636270999908,28.504491806030277,0.0114213256165385,1.9703989028930664,53.29065704345703,0.0,0.1146275624632835,,,-0.0185781121253967,1.5648137150492405e-06,0.0,0.0,0.0,13207202.270507812,297976384800.0,15561.42470389171,0.0
1990,2,0.0,27.086870193481445,0.0,0.0,59.061893463134766,31.417400360107425,-4.179476261138916,,,-1.9642629623413088,0.0,0.0,0.0,0.0,8091036.804199219,297976384800.0,15561.42470389171,0.0
1990,3,0.0,20.50953865051269,0.0,0.0,24.92513656616211,9.16079044342041,-6.335747241973877,,,-3.112373113632202,0.0,0.0,0.0,0.0,6535636.578369141,297976384800.0,15561.42470389171,0.0
1990,4,0.0,40.42506790161133,0.0,0.0,12.051398277282717,2.7452781200408936,-2.612004280090332,,,-1.4085534811019895,0.0,0.0,0.0,0.0,8295098.0712890625,297976384800.0,15561.42470389171,0.0
1990,5,2.5179944038391118,40.45822525024414,1.5283987522125244,9.701319694519045,11.164003372192385,1.731845140457153,-0.2936168611049652,,,-0.359744668006897,3.2555726647842675e-05,0.0,0.0,0.0,9829955.126953123,297976384800.0,15561.42470389171,0.0
1990,6,2.6508548259735107,35.17398834228516,1.99934983253479,10.513360977172852,11.263376235961914,1.3924903869628906,0.4259349107742309,,,0.0189384948462247,4.2935065721394494e-05,0.0,0.0,0.0,10563306.701660156,297976384800.0,15561.42470389171,0.0
1990,7,2.9238667488098145,44.67144775390625,1.77524733543396,10.79068374633789,12.474830627441406,1.5765531063079834,-0.0851003006100654,,,-0.0535504855215549,4.364491906017065e-05,0.0,0.0,0.0,10204393.24951172,297976384800.0,15561.42470389171,0.0
1990,8,2.0017552375793457,26.018388748168945,1.621546745300293,8.0563383102417,11.883138656616213,1.9381974935531616,0.491515040397644,,,0.2516822814941406,4.7013301809784025e-05,0.0,0.0,0.0,10401446.118164062,297978555600.0,15561.53807106599,0.0
1990,9,2.7033653259277344,79.41097259521484,1.0278308391571045,8.4529447555542,12.129810333251951,1.638741374015808,-0.7323195934295654,,,-0.127456709742546,3.0535873520420864e-05,0.0,0.0,0.0,9428196.313476562,297980823600.0,15561.656514382405,0.0
1990,10,1.8737322092056277,137.93682861328125,0.3506191372871399,3.0945141315460205,9.875333786010742,1.4032881259918213,-1.0057884454727173,,,-0.1984043270349502,8.787012120592408e-06,0.0,0.0,0.0,8977463.745117188,297983545200.0,15561.798646362098,0.0
1990,11,0.0,1.846221208572388,0.0,0.0,5.484175682067871,0.7437906265258789,-4.603747844696045,,,-1.9285467863082888,0.0,0.0,0.0,0.0,6636832.690429688,297986040000.0,15561.928934010151,0.0
1990,12,0.0,3.956996202468872,0.0,0.0,4.017945766448975,0.430286705493927,-3.397404432296753,,,-1.4550238847732544,0.0,0.0,0.0,0.0,6884634.1552734375,297988340400.0,15562.049069373945,0.0
1990,13,0.3020804822444916,2.351135730743408,1.022552490234375,1.8508785963058472,3.710637807846069,0.461687833070755,0.6767731308937073,,,0.2869287729263305,4.383276245789602e-05,0.0,0.0,0.0,9067140.197753906,297990738000.0,15562.174280879864,0.0
1990,14,0.2706675827503204,1.407799482345581,0.7166476845741272,1.094127535820007,3.240870475769043,0.3869096040725708,0.6523234844207764,,,0.3884325921535492,2.939262230938766e-05,0.0,0.0,0.0,9241071.6796875,297993330000.0,15562.309644670053,0.0
1990,15,0.1015179231762886,1.9868017435073853,0.5060167908668518,0.5119445323944092,2.7338478565216064,0.2984857261180877,-0.0339220874011516,,,0.2170846760272979,1.6258634786936454e-05,0.0,0.0,0.0,8840215.612792969,297995857200.0,15562.44162436548,0.0
1990,16,0.0,1.6464077234268188,0.0,0.0,2.379006862640381,0.2573083639144897,-1.5846443176269531,,,-0.37782683968544,0.0,0.0,0.0,0.0,7805084.161376953,297998481600.0,15562.578680203043,0.0
1990,17,0.0,0.223489910364151,0.0,0.0,2.179665327072144,0.2374322563409805,-2.508729219436645,,,-0.8402969837188721,0.0,0.0,0.0,0.0,7178789.630126953,298000976400.0,15562.7089678511,0.0
1990,18,0.0,0.0,0.0,0.0,2.0127482414245605,0.2189130634069442,-3.1609110832214355,,,-1.2137253284454346,0.0,0.0,0.0,0.0,6645123.028564453,298003406400.0,15562.8358714044,0.0
1990,19,0.0,0.0,0.0,0.0,1.87255859375,0.2026053071022033,-3.7584328651428223,,,-1.5821174383163452,0.0,0.0,0.0,0.0,6197741.89453125,298005609600.0,15562.950930626055,0.0
1990,20,0.0,0.0,0.0,0.0,1.7504266500473022,0.1878192573785781,-2.500770330429077,,,-1.0404291152954102,0.0,0.0,0.0,0.0,6698860.180664063,298007942400.0,15563.072758037226,0.0
1990,21,0.0,0.0,0.0051395911723375,0.0,1.640336036682129,0.1734540462493896,-0.2034910321235656,,,0.0517362989485263,1.4639695677942657e-07,0.0,0.0,0.0,7991339.666748047,298010178000.0,15563.18950930626,0.0
1990,22,0.3271549344062805,24.47901725769043,0.3001349866390228,1.798814058303833,1.9036169052124023,0.1609964966773986,0.2715142071247101,,,0.2795051038265228,3.399379420443438e-05,0.0,0.0,0.0,8276710.9130859375,298012640400.0,15563.318104906935,0.0
1990,23,0.0,46.08088302612305,0.0,0.0,1.538536787033081,0.1477789133787155,-2.3374271392822266,,,-0.8279274106025696,0.0,0.0,0.0,0.0,6982758.160400391,298015167600.0,15563.45008460237,0.0
1990,24,0.0,13.49440860748291,0.0,0.0,1.435711145401001,0.1397263556718826,-5.261518955230713,,,-2.323151111602783,0.0,0.0,0.0,0.0,5554836.03515625,298017500400.0,15563.571912013536,0.0
1990,25,0.0,17.525705337524414,0.0,0.0,1.3580868244171145,0.1329949498176574,-3.6055634021759033,,,-1.6516385078430176,0.0,0.0,0.0,0.0,6206484.100341797,298019736000.0,15563.688663282572,0.0
1990,26,0.0,50.66376876831055,0.0,0.0,1.2880419492721558,0.1241912618279457,-3.5510401725769043,,,-1.6918458938598633,0.0,0.0,0.0,0.0,6157254.254150391,298021906800.0,15563.802030456853,0.0
1990,27,0.0,26.493762969970703,0.0,0.0,1.2269065380096436,0.1171615272760391,-6.2824578285217285,,,-3.115217447280884,0.0,0.0,0.0,0.0,5017755.212402344,298024012800.0,15563.91201353638,0.0
1990,28,0.0,71.85743713378906,0.0,0.0,1.1734496355056765,0.1125098541378974,-4.502371788024902,,,-2.395029306411743,0.0,0.0,0.0,0.0,5680768.688964844,298026021600.0,15564.016920473774,0.0
1990,29,0.0,79.044921875,0.0,0.0,1.121492624282837,0.1054626181721687,-2.3022077083587646,,,-1.36894428730011,0.0,0.0,0.0,0.0,6599451.763916016,298028192400.0,15564.130287648057,0.0
1990,30,0.0,23.59152603149414,0.0,0.0,1.073397517204285,0.0984315797686576,-4.792766571044922,,,-2.5847036838531494,0.0,0.0,0.0,0.0,5465797.338867188,298030136400.0,15564.231810490694,0.0
1990,31,0.0,43.85648727416992,0.0,0.0,1.0324804782867432,0.0951525568962097,-3.8418779373168954,,,-2.1911849975585938,0.0,0.0,0.0,0.0,5814930.871582031,298032080400.0,15564.333333333334,0.0
1990,32,0.0,20.764049530029297,0.0,0.0,0.9925691485404968,0.0899790003895759,-6.430477619171143,,,-3.517172813415528,0.0,0.0,0.0,0.0,4730634.338378906,298033927200.0,15564.42978003384,0.0
1990,33,0.0,39.214168548583984,0.0,0.0,0.9575518369674684,0.0874902158975601,-4.2619242668151855,,,-2.573042154312134,0.0,0.0,0.0,0.0,5543194.757080078,298035741600.0,15564.52453468697,0.0
1990,34,0.0,23.861473083496094,0.0,0.0,0.921409010887146,0.0822411626577377,-1.9570940732955933,,,-1.4541335105895996,0.0,0.0,0.0,0.0,6558565.155029297,298037556000.0,15564.619289340102,0.0
1990,35,0.0,29.066383361816406,0.0,0.0,0.8870413899421692,0.0768691152334213,-2.5371410846710205,,,-1.6694310903549194,0.0,0.0,0.0,0.0,6226052.838134766,298039370400.0,15564.714043993232,0.0
1990,36,0.0,22.68329429626465,0.0,0.0,0.8571549654006958,0.0738033279776573,-4.731017112731934,,,-2.727494955062866,0.0,0.0,0.0,0.0,5276605.187988281,298040990400.0,15564.798646362098,0.0
1990,37,0.0,30.602508544921875,0.0,0.0,0.8303444385528564,0.0720405876636505,-4.214023590087891,,,-2.529813528060913,0.0,0.0,0.0,0.0,5459777.7099609375,298042804800.0,15564.893401015228,0.0
1990,38,0.0,9.983409881591797,0.0,0.0,0.80335533618927,0.0686277076601982,-6.391001224517822,,,-3.650012254714966,0.0,0.0,0.0,0.0,4683984.191894531,298044327600.0,15564.972927241964,0.0
1990,39,0.0,54.45512771606445,0.0,0.0,0.7795475721359253,0.0669061690568924,-7.593389987945557,,,-4.374485015869141,0.0,0.0,0.0,0.0,4167494.989013672,298046044800.0,15565.06260575296,0.0
1990,40,0.0,25.328947067260746,0.0,0.0,0.7566184401512146,0.0649235621094703,-4.3030686378479,,,-2.8902084827423096,0.0,0.0,0.0,0.0,5317670.764160156,298047567600.0,15565.142131979695,0.0
1990,41,4.073537349700928,72.83402252197266,1.8202967643737795,15.46397590637207,5.453730583190918,0.3823656439781189,-0.5058013200759888,,,-1.06768798828125,0.0002716182789299637,0.0,0.0,0.0,7507974.737548828,298048960800.0,15565.21489001692,0.0
1990,42,27.77577781677246,62.516822814941406,11.332653999328612,87.67758178710938,45.496829986572266,4.505131721496582,1.416496753692627,,,-0.2641063928604126,0.0010412709088996,0.0,0.0,0.0,11429290.832519531,298052848800.0,15565.4179357022,0.0
1990,43,0.0,18.80460929870605,0.0,0.0,16.45310401916504,2.6252012252807617,-4.708075046539307,,,-2.726558923721313,0.0,0.0,0.0,0.0,7665083.7890625,298056218400.0,15565.593908629442,0.0
1990,44,0.0,3.0361568927764893,0.0,0.0,11.75319004058838,3.47837233543396,-10.394887924194336,,,-5.6197285652160645,0.0,0.0,0.0,0.0,4423719.287109375,298059652800.0,15565.773265651438,0.0
1990,45,0.0,1.3655986785888672,0.0,0.0,6.488870143890381,1.3385887145996094,-11.943729400634766,,,-6.684573173522949,0.0,0.0,0.0,0.0,3731983.291625977,298062633600.0,15565.928934010151,0.0
1990,46,0.0,13.736479759216309,0.0,0.0,4.245862483978272,0.6098710894584656,-12.426104545593262,,,-7.25175666809082,0.0,0.0,0.0,0.0,3434847.171020508,298065096000.0,15566.057529610827,0.0
