Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion,diff_prop,diff_dev
2011,Island County,Open Space,55.8693,0.13939707,0.0,0.0
2011,Island County,Low Intensity,27.7308,0.069189917,0.0,0.0
2011,Island County,Medium Intensity,9.6345,0.024038623,0.0,0.0
2011,Island County,High Intensity,1.1187,0.00279122,0.0,0.0
2011,Island County,Forest,235.71,0.588109807,0.0,0.0
2011,Island County,Agriculture,70.7292,0.176473362,0.0,0.0
2011,Clallam County,Open Space,29.7396,0.037020979,0.0,0.0
2011,Clallam County,Low Intensity,29.1843,0.03632972,0.0,0.0
2011,Clallam County,Medium Intensity,10.917,0.013589894,0.0,0.0
2011,Clallam County,High Intensity,1.8549,0.00230905,0.0,0.0
2011,Clallam County,Forest,623.0214,0.775560597,0.0,0.0
2011,Clallam County,Agriculture,108.6003,0.13518976,0.0,0.0
2011,King County,Open Space,249.075,0.22343685,0.0,0.0
2011,King County,Low Intensity,232.6086,0.208665394,0.0,0.0
2011,King County,Medium Intensity,200.4426,0.179810351,0.0,0.0
2011,King County,High Intensity,68.463,0.061415867,0.0,0.0
2011,King County,Forest,246.2661,0.22091708,0.0,0.0
2011,King County,Agriculture,117.8892,0.105754458,0.0,0.0
2011,Snohomish County,Open Space,273.1608,0.148515975,0.0,0.0
2011,Snohomish County,Low Intensity,126.3069,0.068672344,0.0,0.0
2011,Snohomish County,Medium Intensity,93.537,0.050855536,0.0,0.0
2011,Snohomish County,High Intensity,29.6937,0.016144296,0.0,0.0
2011,Snohomish County,Forest,1020.4839,0.5548313,0.0,0.0
2011,Snohomish County,Agriculture,296.0865,0.160980548,0.0,0.0
2011,Whatcom County,Open Space,72.6516,0.076906441,0.0,0.0
2011,Whatcom County,Low Intensity,38.421,0.040671126,0.0,0.0
2011,Whatcom County,Medium Intensity,26.0721,0.027599013,0.0,0.0
2011,Whatcom County,High Intensity,13.5081,0.014299202,0.0,0.0
2011,Whatcom County,Forest,281.6622,0.298157748,0.0,0.0
2011,Whatcom County,Agriculture,512.3601,0.542366471,0.0,0.0
2011,Pierce County,Open Space,208.9053,0.098063504,0.0,0.0
2011,Pierce County,Low Intensity,184.1688,0.086451793,0.0,0.0
2011,Pierce County,Medium Intensity,115.6743,0.054299375,0.0,0.0
2011,Pierce County,High Intensity,38.3454,0.017999947,0.0,0.0
2011,Pierce County,Forest,1391.2047,0.653053835,0.0,0.0
2011,Pierce County,Agriculture,192.0078,0.090131546,0.0,0.0
2011,Thurston County,Open Space,85.9248,0.159155279,0.0,0.0
2011,Thurston County,Low Intensity,57.0015,0.105581737,0.0,0.0
2011,Thurston County,Medium Intensity,33.3873,0.061842042,0.0,0.0
2011,Thurston County,High Intensity,7.8759,0.014588234,0.0,0.0
2011,Thurston County,Forest,236.3796,0.437837054,0.0,0.0
2011,Thurston County,Agriculture,119.3112,0.220995654,0.0,0.0
2011,Jefferson County,Open Space,22.3839,0.102760838,0.0,0.0
2011,Jefferson County,Low Intensity,11.8242,0.054282976,0.0,0.0
2011,Jefferson County,Medium Intensity,3.6162,0.016601385,0.0,0.0
2011,Jefferson County,High Intensity,0.6543,0.003003785,0.0,0.0
2011,Jefferson County,Forest,153.9054,0.706554614,0.0,0.0
2011,Jefferson County,Agriculture,25.4412,0.116796404,0.0,0.0
2011,Skagit County,Open Space,49.86,0.070948235,0.0,0.0
2011,Skagit County,Low Intensity,30.186,0.042953137,0.0,0.0
2011,Skagit County,Medium Intensity,19.746,0.02809755,0.0,0.0
2011,Skagit County,High Intensity,10.9116,0.01552665,0.0,0.0
2011,Skagit County,Forest,217.5462,0.309557137,0.0,0.0
2011,Skagit County,Agriculture,374.5161,0.532917292,0.0,0.0
2011,San Juan County,Open Space,14.4135,0.043811415,0.0,0.0
2011,San Juan County,Low Intensity,5.8212,0.017694176,0.0,0.0
2011,San Juan County,Medium Intensity,1.1448,0.003479745,0.0,0.0
2011,San Juan County,High Intensity,0.1305,0.000396669,0.0,0.0
2011,San Juan County,Forest,233.8596,0.710841923,0.0,0.0
2011,San Juan County,Agriculture,73.62,0.223776071,0.0,0.0
2011,Mason County,Open Space,42.9948,0.041649775,0.0,0.0
2011,Mason County,Low Intensity,25.8435,0.025035026,0.0,0.0
2011,Mason County,Medium Intensity,5.4936,0.005321741,0.0,0.0
2011,Mason County,High Intensity,0.9198,0.000891025,0.0,0.0
2011,Mason County,Forest,924.7329,0.895804072,0.0,0.0
2011,Mason County,Agriculture,32.3091,0.03129836,0.0,0.0
2011,Kitsap County,Open Space,135.5787,0.237374,0.0,0.0
2011,Kitsap County,Low Intensity,65.2257,0.114198508,0.0,0.0
2011,Kitsap County,Medium Intensity,24.2109,0.042388946,0.0,0.0
2011,Kitsap County,High Intensity,4.8249,0.008447535,0.0,0.0
2011,Kitsap County,Forest,327.1032,0.572699067,0.0,0.0
2011,Kitsap County,Agriculture,14.2173,0.024891944,0.0,0.0
2012,Island County,Open Space,56.0025,0.139795962,0.00039889199999998404,0.1331999999999951
2012,Island County,Low Intensity,27.8253,0.069458767,0.00026885000000000103,0.09450000000000003
2012,Island County,Medium Intensity,9.6435,0.024072539,3.391600000000189e-05,0.009000000000000341
2012,Island County,High Intensity,1.1439,0.002855455,6.423499999999973e-05,0.02519999999999989
2012,Island County,Forest,235.5093,0.587888918,-0.0002208890000000574,-0.20070000000001187
2012,Island County,Agriculture,70.4772,0.17592836,-0.0005450019999999889,-0.25200000000000955
2012,Clallam County,Open Space,30.879,0.038432802,0.0014118229999999996,1.139400000000002
2012,Clallam County,Low Intensity,28.6614,0.03567272,-0.0006570000000000048,-0.5228999999999999
2012,Clallam County,Medium Intensity,11.1087,0.013826175,0.00023628099999999964,0.19170000000000087
2012,Clallam County,High Intensity,1.8612,0.002316498,7.448000000000177e-06,0.006299999999999972
2012,Clallam County,Forest,623.4471,0.775958384,0.0003977869999999273,0.4257000000000062
2012,Clallam County,Agriculture,107.4969,0.133793422,-0.001396337999999997,-1.1034000000000077
2012,King County,Open Space,248.6439,0.223065793,-0.0003710569999999802,-0.4310999999999865
2012,King County,Low Intensity,233.4177,0.209405919,0.0007405249999999919,0.8091000000000008
2012,King County,Medium Intensity,200.6262,0.179987695,0.00017734399999999595,0.18360000000001264
2012,King County,High Intensity,68.6898,0.06162365,0.00020778300000000305,0.22680000000001144
2012,King County,Forest,245.736,0.22045703,-0.00046004999999998963,-0.5301000000000045
2012,King County,Agriculture,117.5526,0.105459913,-0.0002945449999999933,-0.33660000000000423
2012,Snohomish County,Open Space,274.248,0.1491019,0.0005859250000000149,1.0871999999999957
2012,Snohomish County,Low Intensity,127.1088,0.069105932,0.00043358799999999864,0.8019000000000034
2012,Snohomish County,Medium Intensity,93.9159,0.051059767,0.00020423099999999916,0.37889999999998736
2012,Snohomish County,High Intensity,29.8971,0.016254319,0.00011002300000000076,0.20339999999999847
2012,Snohomish County,Forest,1020.1338,0.554621684,-0.00020961600000002356,-0.35009999999999764
2012,Snohomish County,Agriculture,294.0291,0.159856398,-0.0011241499999999904,-2.057399999999973
2012,Whatcom County,Open Space,72.9576,0.077218518,0.00031207699999999394,0.3059999999999974
2012,Whatcom County,Low Intensity,38.7108,0.040971614,0.00030048800000000153,0.2897999999999996
2012,Whatcom County,Medium Intensity,26.226,0.027757668,0.0001586550000000006,0.15390000000000015
2012,Whatcom County,High Intensity,13.4946,0.014282721,-1.648100000000048e-05,-0.013500000000000512
2012,Whatcom County,Forest,281.4507,0.297888169,-0.0002695790000000198,-0.2115000000000009
2012,Whatcom County,Agriculture,511.9803,0.541881311,-0.0004851599999999845,-0.3797999999999888
2012,Pierce County,Open Space,209.862,0.098546067,0.0004825630000000053,0.9566999999999837
2012,Pierce County,Low Intensity,184.8249,0.086789257,0.00033746399999999566,0.6561000000000092
2012,Pierce County,Medium Intensity,115.9353,0.054440384,0.00014100900000000444,0.2609999999999957
2012,Pierce County,High Intensity,38.5893,0.018120592,0.00012064500000000256,0.24390000000000356
2012,Pierce County,Forest,1388.1933,0.651861653,-0.0011921820000000416,-3.0114000000000942
2012,Pierce County,Agriculture,192.1779,0.090242046,0.00011049999999999949,0.17009999999999081
2012,Thurston County,Open Space,86.7258,0.160682871,0.0015275919999999943,0.8010000000000019
