Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion,diff_prop,diff_dev
2011,Nooksack,Open Space,70.8966,0.074844371,0.0,0.0
2011,Nooksack,Low Intensity,37.9539,0.040067306,0.0,0.0
2011,Nooksack,Medium Intensity,26.0775,0.027529587,0.0,0.0
2011,Nooksack,High Intensity,13.5081,0.014260278,0.0,0.0
2011,Nooksack,Forest,280.575,0.296198399,0.0,0.0
2011,Nooksack,Agriculture,518.2425,0.547100059,0.0,0.0
2011,Upper Skagit,Open Space,5.2821,0.064130862,0.0,0.0
2011,Upper Skagit,Low Intensity,2.5056,0.03042091,0.0,0.0
2011,Upper Skagit,Medium Intensity,0.5922,0.00719,0.0,0.0
2011,Upper Skagit,High Intensity,0.1152,0.001398663,0.0,0.0
2011,Upper Skagit,Forest,53.4879,0.649405568,0.0,0.0
2011,Upper Skagit,Agriculture,20.3814,0.247453997,0.0,0.0
2011,San Juan,Open Space,14.4135,0.043811415,0.0,0.0
2011,San Juan,Low Intensity,5.8212,0.017694176,0.0,0.0
2011,San Juan,Medium Intensity,1.1448,0.003479745,0.0,0.0
2011,San Juan,High Intensity,0.1305,0.000396669,0.0,0.0
2011,San Juan,Forest,233.8596,0.710841923,0.0,0.0
2011,San Juan,Agriculture,73.62,0.223776071,0.0,0.0
2011,Lower Skagit - Samish,Open Space,48.6792,0.074204661,0.0,0.0
2011,Lower Skagit - Samish,Low Intensity,29.3337,0.04471514,0.0,0.0
2011,Lower Skagit - Samish,Medium Intensity,19.5426,0.029789972,0.0,0.0
2011,Lower Skagit - Samish,High Intensity,10.9062,0.016624983,0.0,0.0
2011,Lower Skagit - Samish,Forest,184.5963,0.281391351,0.0,0.0
2011,Lower Skagit - Samish,Agriculture,362.9547,0.553273892,0.0,0.0
2011,Lyre - Hoko,Open Space,3.4452,0.00733308,0.0,0.0
2011,Lyre - Hoko,Low Intensity,1.2564,0.002674237,0.0,0.0
2011,Lyre - Hoko,Medium Intensity,0.5022,0.001068929,0.0,0.0
2011,Lyre - Hoko,High Intensity,0.0126,2.68e-05,0.0,0.0
2011,Lyre - Hoko,Forest,455.0004,0.968464689,0.0,0.0
2011,Lyre - Hoko,Agriculture,9.5994,0.020432246,0.0,0.0
