Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion,diff_prop,diff_dev
2015,Island County,Open Space,57.3831,0.143215251,0.0,0.0
2015,Island County,Low Intensity,28.3032,0.070638392,0.0,0.0
2015,Island County,Medium Intensity,9.6768,0.024151106,0.0,0.0
2015,Island County,High Intensity,1.2042,0.003005411,0.0,0.0
2015,Island County,Forest,234.4257,0.585073574,0.0,0.0
2015,Island County,Agriculture,69.6843,0.173916266,0.0,0.0
2015,Clallam County,Open Space,32.1147,0.039961699,0.0,0.0
2015,Clallam County,Low Intensity,29.349,0.03652022,0.0,0.0
2015,Clallam County,Medium Intensity,11.1357,0.013856629,0.0,0.0
2015,Clallam County,High Intensity,1.9341,0.002406684,0.0,0.0
2015,Clallam County,Forest,623.4327,0.775764058,0.0,0.0
2015,Clallam County,Agriculture,105.6708,0.13149071,0.0,0.0
2015,King County,Open Space,249.3621,0.223695482,0.0,0.0
2015,King County,Low Intensity,234.6651,0.210511231,0.0,0.0
2015,King County,Medium Intensity,201.249,0.18053462,0.0,0.0
2015,King County,High Intensity,69.4845,0.062332522,0.0,0.0
2015,King County,Forest,244.4661,0.219303423,0.0,0.0
2015,King County,Agriculture,115.5123,0.103622722,0.0,0.0
2015,Snohomish County,Open Space,278.1801,0.151228364,0.0,0.0
2015,Snohomish County,Low Intensity,127.1844,0.069141857,0.0,0.0
2015,Snohomish County,Medium Intensity,95.8572,0.052111303,0.0,0.0
2015,Snohomish County,High Intensity,31.149,0.016933678,0.0,0.0
2015,Snohomish County,Forest,1016.8812,0.55281194,0.0,0.0
2015,Snohomish County,Agriculture,290.2185,0.157772857,0.0,0.0
2015,Whatcom County,Open Space,74.2131,0.078546893,0.0,0.0
2015,Whatcom County,Low Intensity,39.4722,0.041777243,0.0,0.0
2015,Whatcom County,Medium Intensity,26.8821,0.028451923,0.0,0.0
2015,Whatcom County,High Intensity,13.5963,0.014390278,0.0,0.0
2015,Whatcom County,Forest,280.9854,0.297393995,0.0,0.0
2015,Whatcom County,Agriculture,509.6763,0.539439668,0.0,0.0
2015,Pierce County,Open Space,212.5206,0.09976248,0.0,0.0
2015,Pierce County,Low Intensity,186.2325,0.087422189,0.0,0.0
2015,Pierce County,Medium Intensity,117.8415,0.055317745,0.0,0.0
2015,Pierce County,High Intensity,40.2912,0.018913696,0.0,0.0
2015,Pierce County,Forest,1383.7797,0.649580771,0.0,0.0
2015,Pierce County,Agriculture,189.6003,0.089003119,0.0,0.0
2015,Thurston County,Open Space,88.767,0.16433239,0.0,0.0
2015,Thurston County,Low Intensity,58.3209,0.107968197,0.0,0.0
2015,Thurston County,Medium Intensity,33.6636,0.062320681,0.0,0.0
2015,Thurston County,High Intensity,8.2773,0.015323583,0.0,0.0
2015,Thurston County,Forest,232.6068,0.430619841,0.0,0.0
2015,Thurston County,Agriculture,118.5318,0.219435308,0.0,0.0
2015,Jefferson County,Open Space,22.9068,0.105154869,0.0,0.0
2015,Jefferson County,Low Intensity,12.0249,0.055200935,0.0,0.0
2015,Jefferson County,Medium Intensity,3.6639,0.016819325,0.0,0.0
2015,Jefferson County,High Intensity,0.6354,0.002916837,0.0,0.0
2015,Jefferson County,Forest,153.2871,0.703672488,0.0,0.0
2015,Jefferson County,Agriculture,25.3206,0.116235545,0.0,0.0
2015,Skagit County,Open Space,51.6375,0.073424117,0.0,0.0
2015,Skagit County,Low Intensity,30.3372,0.043136909,0.0,0.0
2015,Skagit County,Medium Intensity,19.8189,0.028180784,0.0,0.0
2015,Skagit County,High Intensity,11.1141,0.015803301,0.0,0.0
2015,Skagit County,Forest,218.565,0.310780772,0.0,0.0
2015,Skagit County,Agriculture,371.8044,0.528674117,0.0,0.0
2015,San Juan County,Open Space,15.1839,0.046149217,0.0,0.0
2015,San Juan County,Low Intensity,6.1362,0.018650072,0.0,0.0
2015,San Juan County,Medium Intensity,1.0584,0.00321685,0.0,0.0
2015,San Juan County,High Intensity,0.1323,0.000402106,0.0,0.0
