Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion
2005,Big Beef,Agriculture,0.081,0.0036334275356751803
2005,Big Beef,Forest,18.8253,0.8444489228844032
2005,Big Beef,Low Intensity,1.2880800000000001,0.05777957927222562
2005,Big Beef,Medium Intensity,0.08352,0.00374646717747356
2005,Big Beef,Open Space,2.0151,0.09039160313022232
2005,Cedar,Agriculture,2.04066,0.037358926121017724
2005,Cedar,Forest,14.2506,0.2608901262432809
2005,Cedar,High Intensity,0.79074,0.014476327128168182
2005,Cedar,Low Intensity,10.466280000000001,0.1916095780007875
2005,Cedar,Medium Intensity,6.54498,0.11982111310951335
2005,Cedar,Open Space,20.52972,0.3758439293972321
2005,Chambers,Agriculture,5.032439999999999,0.03370787157718522
2005,Chambers,Forest,13.683240000000001,0.09165191374478535
2005,Chambers,High Intensity,12.04884,0.08070459664287481
2005,Chambers,Low Intensity,47.68056,0.31937021266245713
2005,Chambers,Medium Intensity,38.85678,0.26026742841552375
2005,Chambers,Open Space,31.993739999999995,0.21429797695717348
2005,Deschutes,Agriculture,38.265660000000004,0.30482048195728195
2005,Deschutes,Forest,51.487019999999994,0.4101405366121374
2005,Deschutes,High Intensity,0.8654399999999999,0.006894011948155421
2005,Deschutes,Low Intensity,11.06172,0.08811659544615447
2005,Deschutes,Medium Intensity,5.85918,0.04667365729613008
2005,Deschutes,Open Space,17.99604,0.14335471674014053
2005,Duckabush,Forest,1.55952,0.8094931000301262
2005,Duckabush,Low Intensity,0.0864,0.0448472767051621
2005,Duckabush,Open Space,0.28062,0.14565962326471166
2005,Dungeness,Agriculture,30.85362,0.49961088360027406
2005,Dungeness,Forest,20.68542,0.3349578092892432
2005,Dungeness,High Intensity,0.2124,0.0034393809114359
2005,Dungeness,Low Intensity,4.29318,0.06951921535479541
2005,Dungeness,Medium Intensity,1.08018,0.017491292245361882
2005,Dungeness,Open Space,4.6305,0.07498141859888943
2005,Elwha,Agriculture,1.37574,0.09734527395411571
2005,Elwha,Forest,12.267900000000001,0.8680114477736348
2005,Elwha,Low Intensity,0.23381999999999997,0.0165463743799206
2005,Elwha,Medium Intensity,0.0072,0.0005094599745918201
2005,Elwha,Open Space,0.24858000000000002,0.0175874439177369
2005,Goldsborough,Agriculture,3.7962000000000002,0.026224403596123318
2005,Goldsborough,Forest,130.97232,0.9047616101871192
2005,Goldsborough,High Intensity,0.55584,0.0038397720860047597
2005,Goldsborough,Low Intensity,4.1112,0.028399657045706017
2005,Goldsborough,Medium Intensity,2.1050999999999997,0.014542405604866382
2005,Goldsborough,Open Space,3.21822,0.02223215148018006
2005,Green,Agriculture,46.665,0.1622235937003982
2005,Green,Forest,49.048919999999995,0.17051092945359614
2005,Green,High Intensity,30.031380000000002,0.10439939571208896
2005,Green,Low Intensity,53.513999999999996,0.18603304397996503
2005,Green,Medium Intensity,45.81576,0.1592713381217005
