Station,Month,Monthly_Avg_C,Monthly_Min_C,Monthly_Max_C
0,1,170.15615291063332,119.013838595,224.684451216
0,2,150.7411507446667,114.32171274,253.5123351
0,3,179.079237079,123.37074030000001,277.09626912
0,4,121.0434354161333,89.45283556800001,162.07433664
0,5,81.9844039639,69.4369200447,100.59734962400002
0,6,70.59879950866667,64.3777114045,82.89248904210001
0,7,66.10232938579,63.215293908,69.68763288
0,8,63.50863692925334,61.2954147975,67.810573989
0,9,72.24451625000667,65.682862352,86.4705428752
0,10,95.39070636801334,75.7852188552,142.8538374769
0,11,122.62915012849334,80.025460944,197.8520447
0,12,1024.418555439343,95.819261625,3663.5513573400003
1,1,526.8822730352334,368.552387836,695.706945133
1,2,466.72890049273326,353.82620691,784.9294999000001
1,3,554.5489217126667,381.92753697999996,857.7430584399999
1,4,374.8862203213332,277.0884739,501.75705402
1,5,253.97600445920003,215.05244615200002,311.62708514999997
1,6,218.7655101613333,199.64880602399998,256.90478112
1,7,204.92135754199998,196.03854917599998,215.99953028100003
1,8,196.98550439649995,190.144226224,210.35733343200002
1,9,224.18847170416666,203.827618463,268.335851355
1,10,295.9935847928666,235.099847953,443.15201254
1,11,380.1571611531999,248.126721843,613.286757336
1,12,3173.1177103911714,296.712076876,11349.93595008
2,1,774.7832109013333,498.35183084,1094.8492183999997
2,2,686.2112631345666,440.2058708260001,1179.1634012
2,3,640.2232025406665,424.77545919199997,1011.2893084
2,4,476.1434797749333,344.377705914,649.7700477449999
2,5,367.3017103724667,309.059802531,454.54978540400003
2,6,285.91970345043336,257.57521988,335.508821152
2,7,291.9390068348334,256.922553267,312.40106661
2,8,271.5804685581666,258.91067373600004,287.76234270000003
2,9,294.79017648273333,272.87697105,344.705683784
2,10,349.30008396833335,270.633743496,541.077584628
2,11,470.5646751071667,275.65595136,822.369383923
2,12,3963.030726729829,335.0371505,17081.800044800002
3,1,1012.8228917366667,668.80725678,1421.3448704
3,2,881.1342119473334,563.97387078,1512.3337848
3,3,813.6925598156669,539.390526003,1276.4214228
3,4,606.8401437337332,436.293496704,823.7212368899999
3,5,464.97521851199997,389.972266409,577.687332792
3,6,360.8942091799667,324.95172031799996,424.83815416600004
3,7,368.28079994149994,324.192146228,394.34718034800005
3,8,342.5497228716,326.537953365,364.21992260400003
3,9,373.9078665852666,344.140388475,443.41880377800004
3,10,452.24799808766676,342.485908182,735.84224272
3,11,621.3562075640333,362.21499187999996,1058.5680329
3,12,5229.812278155999,450.65821631,22459.8610368
4,1,241.48775136276666,169.20276284199997,333.030776543
4,2,249.0501801429667,183.000797805,371.207150573
4,3,274.98962086000006,193.97468556,433.156678818
4,4,245.86361051379996,189.575648172,310.94152339799996
4,5,176.2127376117,145.423474863,222.59772092400001
4,6,147.08427786387335,115.413797746,184.48616768000002
4,7,102.39109084623666,89.4830137266,118.872665919
4,8,83.22499169729001,75.209678672,91.593683256
4,9,91.78973841406668,79.160913873,113.298148952
4,10,187.4635838488333,110.81950077799999,333.9053844
4,11,295.729441061,151.74235939000002,480.57938544
4,12,182.11257609897143,105.15878501999998,371.1532108
5,1,1012.5297290136666,684.67448294,1361.42226165
5,2,779.2782653463333,567.93083952,1334.44937364
5,3,1040.532513236,690.6318636000001,1654.67537781
5,4,709.3549111948333,514.39508883,962.15272701
5,5,511.2439976669,430.45806269699995,630.2178485500001
5,6,423.05758129483337,382.504166697,497.109349862
5,7,398.3905014559334,379.97901058,424.468672104
5,8,359.17929186206663,342.80243770499993,380.198552553
5,9,405.47464582086667,363.367540276,472.55394342
5,10,474.95661715209997,375.50699611199997,687.3227006399999
5,11,686.5908565350667,442.705453626,1205.14682526
5,12,8247.67483667,804.6460834300001,25432.841732499997
6,1,298.8868488939667,200.94715482400002,430.013303965
6,2,275.3899252545,200.365234497,416.56521586400004
