Watershed,Month,Monthly_Avg_Flow,Monthly_Min_Flow,Monthly_Max_Flow
Huge,1,0.8465749593495936,0.5735341463414635,1.1320568292682929
Huge,2,0.7470589105691056,0.566729024390244,1.2523663414634145
Huge,3,0.9079335365853659,0.620748536585366,1.4114512195121949
Huge,4,0.5716816016260162,0.41998560975609767,0.7688529268292684
Huge,5,0.3777754715447155,0.3188019512195123,0.4626582926829267
Huge,6,0.2960393414634146,0.26695097560975606,0.34601585365853665
Huge,7,0.2564938780487805,0.24319926829268299,0.2725685365853659
Huge,8,0.23299253658536584,0.22186829268292685,0.24625902439024389
Huge,9,0.24038526016260164,0.22601926829268293,0.2744656097560975
Huge,10,0.2873001300813008,0.23491756097560976,0.40314609756097564
Huge,11,0.4763499024390244,0.3178563414634145,0.8281543902439024
Huge,12,5.794500139372822,0.6428058536585366,18.325961707317074
Deschutes,1,2.2854491025641024,1.529943846153846,3.2052230769230765
Deschutes,2,2.2314490256410258,1.6178046153846153,3.3254692307692313
Deschutes,3,2.6632488205128206,1.8920538461538463,4.244107692307693
Deschutes,4,2.0649112820512823,1.5252607692307691,2.7332146153846155
Deschutes,5,1.1892690769230767,0.9605423076923074,1.5294492307692307
Deschutes,6,0.7822405384615384,0.6048123076923078,0.9864207692307689
Deschutes,7,0.48683964102564103,0.4185269230769231,0.5898638461538461
Deschutes,8,0.3776981538461538,0.33144461538461545,0.41284
Deschutes,9,0.3697205641025641,0.3312900000000001,0.46699076923076926
Deschutes,10,0.708231846153846,0.42147307692307684,1.3298238461538463
Deschutes,11,1.673928,0.8507076923076924,3.0516
Deschutes,12,2.305389318681319,1.4846715384615383,3.761423076923078
Nisqually,1,19.07926666666667,15.662499999999998,25.588
Nisqually,2,19.391366666666666,15.578999999999999,25.588
Nisqually,3,19.26218333333333,14.4485,26.8645
Nisqually,4,16.619783333333334,14.453499999999998,18.2365
Nisqually,5,13.048989999999998,10.467500000000001,16.7255
Nisqually,6,8.691384999999999,6.346299999999999,10.243549999999999
Nisqually,7,6.103046666666666,5.5698,6.43485
Nisqually,8,6.143866666666667,5.1317,7.11745
Nisqually,9,4.984638333333334,4.613249999999999,5.8668
Nisqually,10,7.340678333333333,5.51785,9.36295
Nisqually,11,12.28098,7.23725,19.241999999999997
Nisqually,12,19.608485714285713,15.855,27.672
Puyallup,1,66.90366666666667,47.99,85.26
Puyallup,2,60.84299999999999,47.05,74.57
Puyallup,3,57.774999999999984,47.55,81.32
Puyallup,4,61.629333333333335,52.43,68.91
Puyallup,5,66.05233333333334,53.6,76.53
Puyallup,6,60.241,51.83,74.14
Puyallup,7,42.64933333333333,35.25,55.09
Puyallup,8,29.39766666666667,23.4,35.73
Puyallup,9,23.622666666666664,20.34,27.66
Puyallup,10,31.856333333333335,18.81,67.68
Puyallup,11,58.62733333333333,33.69,87.98
Puyallup,12,61.87314285714285,46.29,86.19
Green,1,36.42399999999999,26.45,43.42
Green,2,34.683,22.71,43.62
Green,3,29.731666666666662,23.11,39.55
